"note","candidate_name","response","q_id"
"Á krepputímum eru allar framkvæmdir og allur peningur sem fer út í atvinnulífið af hinu góða.","Kristján S. Ingólfsson","Sammála",1
"Það er algjör nauðsýn að bæta atvinnuástand á Reykjanesi. Þó er ég á því að það beri að huga að fleirri greinum en einungis ál. ","Kristján S. Ingólfsson","Mjög hlynnt(ur)",2
"Hrein náttúra er ein af ""auðlindum"" landsins og hana ber að vernda. Náttúran er ekki einkaeign okkar kynslóðar, heldur þurfum við að sjá til þess að við skiljum ekki við okkur slakari lífsskilyrði heldur en við tókum við.","Kristján S. Ingólfsson","Mjög hlynnt(ur)",3
"","Kristján S. Ingólfsson","Hlutlaus",4
"","Kristján S. Ingólfsson","Hvorugt lýsir afstöðu minni",5
"","Kristján S. Ingólfsson","Hagsmunum Íslands er best borgið utan ESB",6
"Breyta gjaldmiðli, festa við viðurkenndan erlendan gjaldmiðil (USD, eða einhverskonar mynt-körfu helstu viðskiptaaðila okkar). Skilja snjóhengju eftir í ISK og skapa okkur samningsstöðu gagnvart hrægammasjóðunum um skiptigengi, köllum þetta ""Þýska leiðin"", þar sem Þjóðverjar hafa þrisvar skipt um gjalmiðil á mismunandi gengjum, nú síðast þegar Þýskalöndin sameinuðust.","Kristján S. Ingólfsson","Annan gjaldmiðil",7
"","Kristján S. Ingólfsson","Mjög hlynnt(ur)",8
"","Kristján S. Ingólfsson","Ósammála",9
"","Kristján S. Ingólfsson","Mjög ósammála",10
"","Kristján S. Ingólfsson","Mjög andvíg(ur)",11
"","Kristján S. Ingólfsson","Hlutlaus",12
"","Kristján S. Ingólfsson","Mjög hlynnt(ur)",13
"","Kristján S. Ingólfsson","Mjög ósammála",14
"","Kristján S. Ingólfsson","Styrkirnir eru alltof háir",15
"","Kristján S. Ingólfsson","Skattbyrðin er alltof há",16
"","Kristján S. Ingólfsson","Frekar hlynnt(ur)",17
"","Kristján S. Ingólfsson","Mjög ósammála",18
"","Kristján S. Ingólfsson","Skattar eru of háir",19
"","Kristján S. Ingólfsson","Frekar andvíg(ur)",20
"","Kristján S. Ingólfsson","Sammála",21
"Einokunarverslun er af hinu slæma og á aldrei að líðast, sama á hvaða vettvangi. ","Kristján S. Ingólfsson","Hlutlaus",22
"","Kristján S. Ingólfsson","Mjög andvíg(ur)",23
"","Kristján S. Ingólfsson","Mjög hlynnt(ur)",24
"","Kristján S. Ingólfsson","Mjög hlynnt(ur)",25
"","Kristján S. Ingólfsson","Ósammála",26
"Í raun eru þau núþegar ólögleg eins og dómafordæmi sýna frá Evrópu.","Kristján S. Ingólfsson","Mjög sammála",27
"Lánin eru allflest ólögleg og þau þarf að leiðrétta eins og annað sem hefur farið á skjön við lög. Hrægammasjóðirnir og fjármálastofnannir sem hafa verið að innheimta ólögleg lán, kreditfæra þessar skuldafærslur einfaldlega.","Kristján S. Ingólfsson","Mjög sammála",28
"Engin getur lifað af þessum lánum, ekki einusinni ráðherrar. Ólíðandi finnst okkur einnig að einstaklingar þurfi að skuldstja sig upp fyrir haus (með ólöglegum vísitölutryggðum lánum) til þess að mennta sig (sem er jákvætt fyrir þjóðfélagið í heild sinni). 

Við munum breyta LÍN í SÍN, þ.e. Styrktarkerfi Ísl. Námsmanna. Að uppfylltum ákveðnum skilyrðum (um árangur og fl.) verður þessi framfærsla greidd sem styrkur, en ef viðunandi námsárangur næst ekki, mun sá hluti sem miður fer breytast í lán (þó lögleg lán).","Kristján S. Ingólfsson","Framfærslan er alltof lág",29
"","Kristján S. Ingólfsson","Bætur eru of lágar",30
"","Kristján S. Ingólfsson","Bætur eru of lágar",31
"Set þetta að mestu leyta á dómara í landinu, þar sem refsiramminn býður uppá þetta. En Löggjafinn getur einfaldlega hækkað lægri mörk refsirammans og því myndi ég berjast fyrir.","Kristján S. Ingólfsson","Alltof vægir",32
"","Kristján S. Ingólfsson","Mjög hlynnt(ur)",33
"","Kristján S. Ingólfsson","Hlutlaus",34
"","Kristján S. Ingólfsson","Frekar andvíg(ur)",35
"Markaðsverð fyrir auðlindirnar. Verð myndast í skurðpunkti framboðs og eftirspurnar. Fleirri minni báta útá landsbyggðina.","Kristján S. Ingólfsson","Mjög andvíg(ur)",36
"Þjóðareign á ekki að vera í einkaeigu","Kristján S. Ingólfsson","Mjög sammála",37
"","Kristján S. Ingólfsson","Mjög ósammála",38
"","Kristján S. Ingólfsson","Vil ekki svara",39
"","Kristján S. Ingólfsson","Frekar hlynnt(ur)",40
"Ef það á að vera bindandi kosning, þá verður að taka það fram áður en gengið er til kosninga. ","Kristján S. Ingólfsson","Mjög andvíg(ur)",41
"Persónukjör virkar ekki í praksís, enda sýndi það sig í stjórnlagaráðskjöri, fyrsta prófstein á persónukjör á Íslandi. Þessi kosning gaf að mínu mati fyrirheit um það hvað koma skal í slíku og það er sú staðreynd að einungis frægt fólk fékk kjör í þessum kosningum. 

Ef af yrði í alþingiskosningum myndum við enda hér með stjórn fréttaþula og tónlistarmanna.","Kristján S. Ingólfsson","Mjög andvíg(ur)",42
"Vill ekki borgríki Reykjavíkur, þó ég búi hér á Suðvesturhorninu. Átta mig þó á ranglætinu varðandi atkvæðafjöldan á bakvið hvern þingmann.","Kristján S. Ingólfsson","Frekar andvíg(ur)",43
"","Kristján S. Ingólfsson","Frekar hlynnt(ur)",44
"Þrískipting valdins er í stjórnarskránni. Hefur verið þverbrotið frá upphafi.","Kristján S. Ingólfsson","Mjög andvíg(ur)",45
"","Kristján S. Ingólfsson","Sammála",46
"","Kristján S. Ingólfsson","Hvorki né",47
"","Kristján S. Ingólfsson","Mjög hlynnt(ur)",48
"","Kristján S. Ingólfsson","Hlutlaus",49
"","Kristján S. Ingólfsson","Mjög sammála",50
"","Kristján S. Ingólfsson","Hlutlaus",51
"","Kristján S. Ingólfsson","Hlutlaus",52
"","Kristján S. Ingólfsson","Mjög ósammála",53
"","Kristján S. Ingólfsson","Flugvöllurinn á að vera áfram í Vatnsmýri",54
"","Kristján S. Ingólfsson","Frekar hlynnt(ur)",55
"","Kristján S. Ingólfsson","Ekki mikilvægt",56
"","Kristján S. Ingólfsson","Hvorki né",57
"","Kristján S. Ingólfsson","Verðbólgu",58
"","Kristján S. Ingólfsson","Mjög sammála",59
"","Kristján S. Ingólfsson","Mjög sammála",60
"","Kristján S. Ingólfsson","Mjög ósammála",61
"","Kristján S. Ingólfsson","Hvorki né",62
"","Kristján S. Ingólfsson","Mjög ósammála",63
"","Kristján S. Ingólfsson","Hlutlaus",64
"","Kristján S. Ingólfsson","Hvorki né",65
"","Kristján S. Ingólfsson","Sammála",66
"Ég er ekki á móti stóriðju en það er kominn tími til þess að líta til fleiri kosta þegar kemur að því að nýta orkuauðlindir okkar. Það ber að sjálfsögðu að hlúa að þeim stóriðjufyrirtækjum sem þegar hafa haslað sér völl hérlendis. Þá ætti önnur stóriðja en álbræðsla að ganga fyrir um orku.","Birgir Ö. Guðjónsson","Hvorki né",1
"","Birgir Ö. Guðjónsson","Frekar hlynnt(ur)",2
"","Birgir Ö. Guðjónsson","Mjög hlynnt(ur)",3
"Bera undir íbúa Árnes og Rangárvallasýslna í íbúakosningu","Birgir Ö. Guðjónsson","Hlutlaus",4
"Þjóðaratkvæðagreiðsla um það hvort viðræður verði svo teknar upp að nýju.","Birgir Ö. Guðjónsson","Ísland á að hætta aðildaviðræðum",5
"Það er of margt óljóst m.a um framtíð ESB og Ísland hefur allt til brunns að bera til þess að geta orðið frábært land til að búa í. Það er sögulegt klúður að staðan sé sú sem raun ber vitni. ESB er samt engin trúarbrögð fyrir mér, ég tel orku okkar bara betur varið í önnur málefni, eins og t.d björgun heimila landsins.","Birgir Ö. Guðjónsson","Hagsmunum Íslands er best borgið utan ESB",6
"Krónan verður gjalmiðill okkar næstu árin. Er opinn fyrir það að skoða upptöku á nýkrónu (þýska leiðin) til þess að endurstilla samfélagið.","Birgir Ö. Guðjónsson","Íslenska krónu",7
"Er að sjálfsögðu á móti öllum stríðsrekstri en við getum ekki lokað augunum fyrir því alþjóðarsamfélagi sem við búum í og því eðlilegt að horfa til einhvers varnarbandalags.","Birgir Ö. Guðjónsson","Frekar hlynnt(ur)",8
"","Birgir Ö. Guðjónsson","Hvorki né",9
"Hugsanlega í algjörum undartekningartilfellum en ég hef annars fulla trú á íslenskum landbúnaðarvörum í samkeppni við innfluttar. Eðlilegra að skoða hvort ekki sé hægt að koma til móts við okkar frábæra landbúnað á einhvern annan hátt.","Birgir Ö. Guðjónsson","Ósammála",10
"Veit ekki til þess að þessar reglur séu eitthvað þrengri hér en annarsstaðar og sé því ekki ástæðu til breytinga.","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",11
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",12
"Eðlilegt er að þeir sem setjast hér að læri íslensku, það er einnig þeim til góða, en tryggja verður þá kennslu á þeim stað þar sem fólk sest að. Fólk á hins vegar mis auðvelt með að læra tungumál og því kannski erfitt að setja þetta sem skilyrði.","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",13
"","Birgir Ö. Guðjónsson","Ósammála",14
"Viðurkenni það að ég hef ekki næga þekkingu á þessu máli til þess að koma með fullyrðingu um það.","Birgir Ö. Guðjónsson","Veit ekki",15
"","Birgir Ö. Guðjónsson","Skattbyrðin er of há",16
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",17
"Í stefnu Flokks heimilanna er talað um að hækka skatta ekki meira og að einfalda skattkerfið.","Birgir Ö. Guðjónsson","Ósammála",18
"","Birgir Ö. Guðjónsson","Skattar eru alltof háir",19
"Það eru margar hliðar á þessu máli. Listir er að sjálfsögðu mikilvægar í hverju samfélagi en það mætti hugsa sér að endurskoða listamannalaun, hugsanlega með það fyrir augum hvort eðlilegra sé kannski að upprennandi listamenn fái slík laun í meira mæli heldur en þau séu veitt sem ""heiðurslaun"".","Birgir Ö. Guðjónsson","Hlutlaus",20
"","Birgir Ö. Guðjónsson","Sammála",21
"Finnst jákvætt að hafa áfengi í sér verslunum. Önnur lönd ættu að taka okkur til fyrirmyndar í þeim málum.","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",22
"","Birgir Ö. Guðjónsson","Frekar andvíg(ur)",23
"","Birgir Ö. Guðjónsson","Mjög hlynnt(ur)",24
"","Birgir Ö. Guðjónsson","Mjög hlynnt(ur)",25
"","Birgir Ö. Guðjónsson","Sammála",26
"Gífurlega mikilvægt fyrir heimilin í landinu og hagkerfið allt.","Birgir Ö. Guðjónsson","Mjög sammála",27
"Leiðrétting verðtryggðra skulda er ekki bara raunhæft heldur algjörlega nauðsynlegt réttlætismál til þess að heimili landsins eigi sér einhverja framtíð. ","Birgir Ö. Guðjónsson","Mjög sammála",28
