"district","candidate_placement","candidate_name","candidate_answer_status","candidate_photo_url","candidate_url","done","party"
"Suðvestur",1,"Pétur Gunnlaugsson","cand not","","/kosningar2013/frambod/fulltrui/petur-gunnlaugsson/",0,"Flokkur heimilanna"
"Suðvestur",2,"Kristján S. Ingólfsson","cand ok","","/kosningar2013/frambod/fulltrui/kristjan-s-ingolfsson/",1,"Flokkur heimilanna"
"Suðvestur",3,"Birgir Ö. Guðjónsson","cand ok","","/kosningar2013/frambod/fulltrui/birgir-o-gudjonsson/",1,"Flokkur heimilanna"
"Suðvestur",4,"Örn Björnsson","cand not","","/kosningar2013/frambod/fulltrui/orn-bjornsson/",0,"Flokkur heimilanna"
"Suðvestur",5,"Ingibjörgu Helga Baldursdóttur","cand not","","/kosningar2013/frambod/fulltrui/ingibjorgu-helga-baldursdottur/",0,"Flokkur heimilanna"
"Suðvestur",1,"Valdís Steinarsdóttir","cand not","","/kosningar2013/frambod/fulltrui/valdis-steinarsdottir/",0,"Regnboginn"
"Suðvestur",2,"Karólína Einarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/karolina-einarsdottir/",1,"Regnboginn"
"Suðvestur",3,"Anna Ólafsdóttir Björnsson","cand ok","","/kosningar2013/frambod/fulltrui/anna-olafsdottir-bjornsson/",1,"Regnboginn"
"Suðvestur",4,"Ingimundur Þór Þorsteinsson","cand ok","","/kosningar2013/frambod/fulltrui/ingimundur-thor-thorsteinsson/",1,"Regnboginn"
"Suðvestur",5,"Pétur Jökull Hákonarson","cand not","","/kosningar2013/frambod/fulltrui/petur-jokull-hakonarson/",0,"Regnboginn"
"Suðvestur",1,"Margrét Tryggvadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Margret-Tryggvadottir/",1,"Dögun"
"Suðvestur",2,"Álfheiður Eymarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Alfheidur-Eymarsdottir/",1,"Dögun"
"Suðvestur",3,"Jón Jósef Bjarnason","cand ok","","/kosningar2013/frambod/fulltrui/Jon-Josef-Bjarnason/",1,"Dögun"
"Suðvestur",4,"Baldvin Björgvinsson","cand ok","","/kosningar2013/frambod/fulltrui/Baldvin-Bjorgvinsson/",1,"Dögun"
"Suðvestur",5,"Guðrún Lilja Guðmundsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Gudrun-Lilja-Gudmundsdottir/",1,"Dögun"
"Suðvestur",1,"Guðmundur Steingrímsson","cand ok","","/kosningar2013/frambod/fulltrui/Gudmundur-Steingrimsson/",1,"Björt framtíð"
"Suðvestur",2,"Freyja Haraldsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Freyja-Haraldsdottir/",1,"Björt framtíð"
"Suðvestur",3,"Guðlaug Kristjánsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Gudlaug-Kristjansdottir/",1,"Björt framtíð"
"Suðvestur",4,"Erla Karlsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Erla-Karlsdottir/",1,"Björt framtíð"
"Suðvestur",5,"Pétur Óskarsson","cand ok","","/kosningar2013/frambod/fulltrui/Petur-Oskarsson/",1,"Björt framtíð"
"Suðvestur",1,"Bjarni Benediktsson","cand not","","/kosningar2013/frambod/fulltrui/Bjarni-Benediktsson/",0,"Sjálfstæðisflokkurinn"
"Suðvestur",2,"Ragnheiður Ríkharðsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Ragnheidur-Rikhardsdottir/",0,"Sjálfstæðisflokkurinn"
"Suðvestur",3,"Jón Gunnarsson","cand not","","/kosningar2013/frambod/fulltrui/Jon-Gunnarsson/",0,"Sjálfstæðisflokkurinn"
"Suðvestur",5,"Elín Hirst","cand ok","","/kosningar2013/frambod/fulltrui/Elin-Hirst/",1,"Sjálfstæðisflokkurinn"
"Suðvestur",1,"Árni Páll Árnason","cand ok","","/kosningar2013/frambod/fulltrui/Arni-Pall-Arnason/",1,"Samfylkingin"
"Suðvestur",2,"Katrín Júlíusdóttir","cand not","","/kosningar2013/frambod/fulltrui/Katrin-Juliusdottir/",0,"Samfylkingin"
"Suðvestur",3,"Magnús Orri Schram","cand ok","","/kosningar2013/frambod/fulltrui/Magnus-Orri-Schram/",1,"Samfylkingin"
"Suðvestur",4,"Margrét Gauja Magnúsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Margret-Gauja-Magnusdottir/",1,"Samfylkingin"
"Suðvestur",5,"Lúðvík Geirsson","cand ok","","/kosningar2013/frambod/fulltrui/Ludvik-Geirsson/",1,"Samfylkingin"
"Suðvestur",1,"Eygló Harðardóttir","cand ok","","/kosningar2013/frambod/fulltrui/Eyglo-Hardardottir/",1,"Framsóknarflokkurinn"
"Suðvestur",2,"Willum Þór Þórsson","cand ok","","/kosningar2013/frambod/fulltrui/Willum-THor-THorsson/",1,"Framsóknarflokkurinn"
"Suðvestur",3,"Þorsteinn Sæmundsson","cand ok","","/kosningar2013/frambod/fulltrui/THorsteinn-Saemundsson/",1,"Framsóknarflokkurinn"
"Suðvestur",4,"Sigurjón Norberg Kjærnested","cand ok","","/kosningar2013/frambod/fulltrui/Sigurjon-Norberg-Kjaernested/",1,"Framsóknarflokkurinn"
"Suðvestur",5,"Ólöf Pálína Úlfarsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Olof-Palina-Ulfarsdottir/",0,"Framsóknarflokkurinn"
"Suðvestur",1,"Ögmundur Jónasson","cand ok","","/kosningar2013/frambod/fulltrui/Ogmundur-Jonasson/",1,"Vinstri græn"
"Suðvestur",2,"Rósa Björk Brynjólfsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Rosa-Bjork-Brynjolfsdottir/",1,"Vinstri græn"
"Suðvestur",3,"Ólafur Þór Gunnarsson","cand ok","","/kosningar2013/frambod/fulltrui/Olafur-THor-Gunnarsson/",1,"Vinstri græn"
"Suðvestur",4,"Guðbjörg Sveinsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Gudbjorg-Sveinsdottir/",1,"Vinstri græn"
"Suðvestur",5,"Garðar H. Guðjónsson","cand ok","","/kosningar2013/frambod/fulltrui/Gardar-H-Gudjonsson/",1,"Vinstri græn"
"Suðvestur",1,"Lýður Árnason","cand ok","","/kosningar2013/frambod/fulltrui/Lydur-Arnason/",1,"Lýðræðisvaktin"
"Suðvestur",2,"Ástrós Signýjardóttir","cand ok","","/kosningar2013/frambod/fulltrui/Astros-Signyjardottir/",1,"Lýðræðisvaktin"
"Suðvestur",3,"Friðrik Hansen Guðmundsson","cand ok","","/kosningar2013/frambod/fulltrui/Fridrik-Hansen-Gudmundsson/",1,"Lýðræðisvaktin"
"Suðvestur",4,"Guðrún Guðlaugsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Gudrun-Gudlaugsdottir/",1,"Lýðræðisvaktin"
"Suðvestur",5,"Árni Stefán Árnason","cand not","","/kosningar2013/frambod/fulltrui/Arni-Stefan-Arnason/",0,"Lýðræðisvaktin"
"Suðvestur",1,"Birgitta Jónsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Birgitta-Jonsdottir/",1,"Píratar"
"Suðvestur",2,"Björn Leví Gunnarsson","cand ok","","/kosningar2013/frambod/fulltrui/Bjorn-Levi-Gunnarsson/",1,"Píratar"
"Suðvestur",3,"Hákon Einar Júlíusson","cand ok","","/kosningar2013/frambod/fulltrui/Hakon-Einar-Juliusson/",1,"Píratar"
"Suðvestur",4,"Árni Þór Þorgeirsson","cand ok","","/kosningar2013/frambod/fulltrui/Arni-THor-THorgeirsson/",1,"Píratar"
"Suðvestur",5,"Berglind Ósk Bergsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Berglind-Osk-Bergsdottir/",1,"Píratar"
"Suðvestur",1,"Sigurjón Haraldsson","cand ok","","/kosningar2013/frambod/fulltrui/sigurjon-haraldsson/",1,"Hægri Grænir"
"Suðvestur",2,"Týr Þórarinsson","cand ok","","/kosningar2013/frambod/fulltrui/tyr-thorarinsson/",1,"Hægri Grænir"
"Suðvestur",3,"Ástþór Óli Halldórsson","cand ok","","/kosningar2013/frambod/fulltrui/astthor-oli-halldorsson/",1,"Hægri Grænir"
"Suðvestur",4,"Helgi Helgason","cand not","","/kosningar2013/frambod/fulltrui/helgi-helgason/",0,"Hægri Grænir"
"Suðvestur",5,"Böðvar Guðmundsson","cand ok","","/kosningar2013/frambod/fulltrui/bodvar-gudmundsson/",1,"Hægri Grænir"
"Norðaustur",1,"Brynjólfur Ingvarsson","cand not","","/kosningar2013/frambod/fulltrui/brynjolfur-ingvarsson/",0,"Flokkur heimilanna"
"Norðaustur",2,"Emil K. Thorarensen","cand not","","/kosningar2013/frambod/fulltrui/emil-k-thorarensen/",0,"Flokkur heimilanna"
"Norðaustur",3,"Árni Þorsteinsson","cand not","","/kosningar2013/frambod/fulltrui/arni-thorsteinsson/",0,"Flokkur heimilanna"
"Norðaustur",4,"Kristín Þórarinsdóttir ","cand not","","/kosningar2013/frambod/fulltrui/kristin-thorarinsdottir/",0,"Flokkur heimilanna"
