"question","id"
"Hversu hlynnt(ur) eða andvíg(ur) ert þú eftirfarandi fullyrðingu: Frekari         stóriðjuframkvæmdir eru íslensku samfélagi til framdráttar?",1
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að álver rísi í Helguvík á Reykjanesi?",2
"Ert þú hlynnt(ur) eða andvíg(ur) því að auka kröfur til framleiðslufyrirtækja um mengunarvarnir á þeirra kostnað?",3
"Ert þú hlynnt(ur) eða andvíg(ur) hugmyndum um að þrjár virkjanir rísi í neðri hluta Þjórsár?",4
"Hver eftirtalinna valmöguleika lýsir afstöðu þinni til aðildarviðræðna við Evrópusambandið best?",5
"Hver eftirtalinna valmöguleika lýsir afstöðu þinni til aðildar Íslands að Evrópusambandinu best?",6
"Hvaða gjaldmiðil á Ísland að nota til framtíðar?",7
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að Ísland verði áfram aðili að NATÓ (Atlantshafsbandalaginu)?",8
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Íslendingar ættu að veita fleiri pólitískum flóttamönnum hæli.",9
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Viðhalda á núverandi tollum á innfluttar landbúnaðarvörur",10
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að með rýmri reglum verði erlendum ríkisborgurum gert auðveldara að setjast að á Íslandi?",11
"Hversu hlynnt(ur) eða andvíg(ur) ertu því að útlendingar geti keypt jarðir á Íslandi?",12
"Ert þú hlynnt(ur) eða andvíg(ur) því að gera íslenskukunnáttu að skilyrði fyrir veitingu ríkisborgararéttar?",13
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Innflytjendur af fyrstu kynslóð geta aldrei aðlagast íslensku samfélagi fullkomlega.",14
"Íslenska ríkið niðurgreiðir sauðfjárframleiðslu um 4,7 milljarða króna árlega. Hver af eftirtöldum valmöguleikum lýsir afstöðu þinni til styrkjanna best?",15
"Hver eftirtalinna valmöguleika lýsir afstöðu þinni til tekjuskatts á Íslandi?",16
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að ríkisreknir háskólar innheimti skólagjöld?",17
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Það á að leggja hærri tekjuskatt en þegar er gert á þá sem hafa hæstu launin.",18
"Hver eftirtalinna valmöguleika lýsir afstöðu þinni til skattlagningar á eldsneyti best?",19
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að ríkissjóður greiði listamannalaun?",20
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Eðlilegt er að nota hluta af skattfé ríkissjóðs til að koma í veg fyrir fólksfækkun á landsbyggðinni.",21
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að áfengi verði selt í matvöruverslunum?",22
"Hversu hlynnt/ur eða andvíg/ur ertu því að ríkið haldi úti útvarpi og sjónvarpi með skattfé?",23
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að svokallað lyklafrumvarp verði lögleitt?",24
"Ert þú hlynnt(ur) eða andvíg(ur) því að fjárfestingabankar og viðskiptabankar verði aðskildir með lögum?",25
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Eðlilegt er að ríkissjóður styðji við listir og menningu sem ekki standa undir sér fjárhagslega.",26
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Afnema á verðtryggingu á neytendalánum í íslenskum krónum.",27
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Raunhæft er að ráðast í almennar niðurfærslur á skuldum einstaklinga.",28
"Grunnframfærsla hjá LÍN er 140.600 kr. á mánuði. Hver eftirtalinna valmöguleika lýsir afstöðu þinni til framfærslunnar best?",29
"Hver af eftirtöldum valmöguleikum lýsir afstöðu þinni til upphæðar örorkubóta best?",30
"Hver af eftirtöldum valmöguleikum lýsir afstöðu þinni til upphæðar atvinnuleysisbóta best?",31
"Hvað af eftirfarandi lýsir afstöðu þinni til dóma sem felldir hafa verið í kynferðisbrotamálum á undanförnum árum?",32
"Ert þú hlynnt(ur) eða andvíg(ur) því að listi yfir nöfn og heimilisföng dæmdra barnaníðinga verði gerður aðgengilegur almenningi?",33
"Ert þú hlynnt(ur) eða andvíg(ur) lögleiðingu kannabisefna?",34
"Ert þú hlynnt(ur) eða andvíg(ur) banni á sölu tóbaks á Íslandi?",35
"Hversu hlynnt(ur) eða andvíg(ur) ert þú núgildandi kvótakerfi?",36
"Hversu sammála eða ósammála ert þú eftirfarandi skilgreiningu á þjóðareign auðlinda: Til þjóðareignar teljast nytjastofnar og aðrar auðlindir hafs og hafsbotns innan íslenskrar lögsögu utan netlaga, vatn og önnur þau náttúrugæði sem ekki eru háð einkaeignarrétti, svo sem vatnsafl, jarðhiti og jarðefni í þjóðlendum.",37
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Nýtingarréttur á auðlindum verður að vera til langs tíma til að tryggja rekstraröryggi þeirra fyrirtækja sem nýta þær.",38
"Til hve langs tíma á að hámarki að semja um nýtingarrétt á jarðvarma?",39
"Ert þú hlynnt(ur) eða andvíg(ur) því að strandveiðar megi stunda án aflaheimilda?",40
"Ert þú hlynnt(ur) eða andvíg(ur) því að Alþingi líti á niðurstöður stjórnlagaráðs sem bindandi?",41
"Ert þú hlynnt(ur) eða andvíg(ur) persónukjöri?",42
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að landið verði eitt kjördæmi?",43
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að réttur almennings til upplýsinga sem varða almannahag verði tryggður í stjórnarskrá?",44
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að ráðherrar sitji á Alþingi?",45
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Fólk á að geta borgað sérstaklega fyrir aðgang að betri heilbrigðisþjónustu.",46
"Hversu mikilvægt telur þú að þjónusta sálfræðinga sé inni í sjúkratryggingakerfinu?",47
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að tannlækningar verði hluti af sjúkratryggingakerfinu?",48
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að ríkið feli einkaaðilum rekstur heilbrigðisstofnana í hagnaðarskyni?",49
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Íslendingar búa við jafnrétti þar sem konur og karlar búa við jafna stöðu og tækifæri.",50
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að heimila staðgöngumæðrun á Íslandi?",51
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að heimilt sé að selja vændi á Íslandi?",52
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Hjálparstarf í öðrum löndum ætti frekar að fjármagna með skattfé en söfnunarfé.",53
"Hver af eftirtöldum valmöguleikum lýsir afstöðu þinni til Reykjavíkurflugvallar best?",54
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að vegtollar verði lagðir á stofnbrautir til að fjármagna vegaframkvæmdir?",55
"Hversu mikilvægt telur þú að Vaðlaheiðargöng verði byggð?",56
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Réttlætanlegt er að gera tilraunir á dýrum ef það er í þágu framfara í læknavísindum.",57
"Hvort telur þú mikilvægara eða hafa hemil á verðbólgu eða atvinnuleysi?",58
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Því frjálsari sem markaðurinn er því frjálsara er fólk.",59
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Kaupsýslumenn og framleiðendur eru mikilvægari samfélaginu en rithöfundar og listamenn.",60
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Enginn ræður því hvar hann fæðist svo það er kjánalegt að vera stoltur af föðurlandinu.",61
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Þegar upp er staðið skiptist fólk frekar eftir stétt en þjóðerni.",62
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Góðir foreldrar þurfa stundum að flengja börnin sín.",63
"Hversu hlynnt(ur) eða andvíg(ur) ert þú því að á Íslandi sé þjóðkirkja?",64
"Hversu sammála eða ósammála ert þú eftirfarandi fullyrðingu: Það er mikilvægt að trúarbragðafræði sé kennd í grunnskólum?",65
"Hversu sammála eða ósammála ertu eftirfarandi fullyrðingu: Bænahald á ekki að vera leyft í starfi leik- og grunnskóla.",66
